"volume","sizeindex","species","xleft","ybottom","xright","ytop"
"100",124.226925,"olea_europaea_mission",102,0,150,600
"100",174.45505,"lophostemon_confertus",102,0,150,600
"100",55.151655,"pyrus_calleryana_chanticleer",102,0,150,600
"100",72.0104,"magnolia_grandiflora_littlegem",102,0,150,600
"100",61.9081,"callistemon_kingsparkspecial",102,0,150,600
"100",124.432109157537,"acer_rubrum_octoberglory",102,0,150,600
"100",92.7417,"corymbia_maculata",102,0,150,600
"100",93.5028,"fraxinus_pennsylvanica_cimmaron",102,0,150,600
"100",166.72096,"corymbia_maculata",102,0,150,600
"100",66.37224,"zelkova_serrata_greenvase",102,0,150,600
"100",93.53736,"ficus_microcarpa_hilliiflash",102,0,150,600
"100",137.33438,"acer_freemanii_autumnblaze",102,0,150,600
"100",98.10615,"angophora_costata",102,0,150,600
"100",78.88106,"waterhousea_floribunda",102,0,150,600
"100",113.86472,"elaeocarpus_reticulatus",102,0,150,600
"100",144.46263,"araucaria_heterophylla",102,0,150,600
"100",97.0428,"magnolia_grandiflora_littlegem",102,0,150,600
"100",126.05625,"ficus_microcarpa_hilliiflash",102,0,150,600
"100",111.30174,"acer_freemanii_autumnblaze",102,0,150,600
"100",195.97818,"brachychiton_acerifolius",102,0,150,600
"100",176.30283,"araucaria_heterophylla",102,0,150,600
"100",78.96461,"olea_europaea_mission",102,0,150,600
"100",71.609625,"olea_europaea",102,0,150,600
"100",59.94387,"callistemon_kingsparkspecial",102,0,150,600
"100",179.95026,"angophora_costata",102,0,150,600
"100",237.37474,"eucalyptus_saligna",102,0,150,600
"100",217.71288,"corymbia_maculata",102,0,150,600
"100",135.8444,"elaeocarpus_reticulatus",102,0,150,600
"100",88.9772,"syzygium_armstrongii",102,0,150,600
"100",51.40915,"agonis_flexuosa",102,0,150,600
"100",164.61,"eucalyptus_sideroxylon_rosea",102,0,150,600
"100",84.65925,"brachychiton_acerifolius",102,0,150,600
"100",92.6415,"pyrus_calleryana_chanticleer",102,0,150,600
"100",43.33196,"agonis_flexuosa",102,0,150,600
"100",86.15472,"banksia_integrifolia",102,0,150,600
"100",127.19676,"hibiscus_tiliaceus_rubra",102,0,150,600
"100",146.57097,"jacaranda_mimosifolia",102,0,150,600
"100",185.60815,"corymbia_maculata",102,0,150,600
"100",29.818,"pyrus_calleryana_chanticleer",102,0,150,600
"100",95.5184306460319,"lagerstroemia_indica_sioux",102,0,150,600
"100",107.961525,"elaeocarpus_reticulatus_primadonna",102,0,150,600
"100",84.47455,"fraxinus_griffithii",102,0,150,600
"100",267.98128,"eucalyptus_pilularis",102,0,150,600
"100",68.63101,"elaeocarpus_eumundii",102,0,150,600
"100",153.08456,"corymbia_citriodora",102,0,150,600
"100",33.313625,"agonis_flexuosa",102,0,150,600
"100",196.4212,"adansonia_gregorii",102,0,150,600
"100",111.1362,"corymbia_citriodora",102,0,150,600
"100",182.3613,"lophostemon_confertus",102,0,150,600
"100",179.94207,"waterhousea_floribunda",102,0,150,600
"100",58.3781,"melaleuca_rhaphiophylla",102,0,150,600
"100",81.7191,"banksia_integrifolia",102,0,150,600
"100",155.19657,"corymbia_maculata",102,0,150,600
"100",126.50274,"carallia_brachiata",102,0,150,600
"100",126.35055,"pyrus_calleryana_chanticleer",102,0,150,600
"100",101.04822,"elaeocarpus_reticulatus_primadonna",102,0,150,600
"100",89.99585,"waterhousea_floribunda",102,0,150,600
"100",84.77968,"magnolia_grandiflora_littlegem",102,0,150,600
"100",116.938545,"corymbia_maculata",102,0,150,600
"100",229.55914,"eucalyptus_saligna",102,0,150,600
"100",59.50512,"lagerstroemia_indica_natchez",102,0,150,600
"100",117.83243,"elaeocarpus_reticulatus",102,0,150,600
"100",144.2466,"magnolia_grandiflora_littlegem",102,0,150,600
"100",196.28292,"angophora_costata",102,0,150,600
"100",132.99132,"melia_azedarach_caroline",102,0,150,600
"100",99.61954,"fraxinus_griffithii",102,0,150,600
"100",126.527255,"corymbia_maculata",102,0,150,600
"100",89.416075,"angophora_costata",102,0,150,600
