"nursery","species","genus_species","volume","climate_region","origin","leaf_type","calliper300.mean","rcd.mean","height_m.mean","sizeindex.mean","calliper300.se","rcd.se","height_m.se","sizeindex.se","longitude","latitude","tmean_1","tmean_2","tmean_3","tmean_4","tmean_5","tmean_6","tmean_7","tmean_8","tmean_9","tmean_10","tmean_11","tmean_12","prec_1","prec_2","prec_3","prec_4","prec_5","prec_6","prec_7","prec_8","prec_9","prec_10","prec_11","prec_12","MAT","MAP"
"alpine","eucalyptus_saligna","eucalyptus_saligna",400,"New South Wales","native","evergreen",89.84875,103.1225,5.755,517.5538875,1.86427194792856,2.08358915096043,0.325403595554813,33.7260499045333,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","magnolia_grandiflora_littlegem","magnolia_grandiflora",200,"New South Wales","non-native","evergreen",50.98,62.0044444444444,2.79316666666667,142.977082222222,1.38362470354552,1.69904163148074,0.042397993694054,5.64966489792252,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","jacaranda_mimosifolia","jacaranda_mimosifolia",100,"New South Wales","non-native","deciduous",46.2365789473684,61.1292105263158,3.45231578947368,159.309698947368,0.955666851210029,1.47941900556568,0.0877808626065543,4.67983779092541,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","olea_europaea","olea_europaea",15,"New South Wales","non-native","evergreen",17.4448275862069,23.4220689655172,1.96789655172414,34.5195734482759,0.464019935099631,0.567096383088367,0.0385853396452063,1.32750545382418,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","ulmus_parvifolia","ulmus_parvifolia",400,"New South Wales","non-native","deciduous",68.9795,88.5385,3.5062,241.552468,1.79776565800749,2.45194787079805,0.05585373756518,6.33138497810577,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","waterhousea_floribunda","waterhousea_floribunda",200,"New South Wales","native","evergreen",54.0183333333333,63.1716666666667,3.31383333333333,181.51049,4.68416333096009,4.2915544321894,0.126333795073914,21.4055985330187,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","banksia_integrifolia","banksia_integrifolia",400,"New South Wales","native","evergreen",79.9026666666667,107.253666666667,3.92486666666667,314.728995,2.11489383200077,2.34639974807742,0.0769355863332726,12.9938554502426,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","fraxinus_griffithii","fraxinus_griffithii",25,"New South Wales","non-native","evergreen",12.1082051282051,15.7767948717949,1.16833333333333,14.1905378205128,0.228391923428932,0.380441868209885,0.0295183634908151,0.511775289314159,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","fraxinus_griffithii","fraxinus_griffithii",100,"New South Wales","non-native","evergreen",37.2425,50.434,2.6313,97.957832,0.958201512673033,1.10634980403527,0.0511744402346849,3.06649546214777,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","eucalyptus_saligna","eucalyptus_saligna",25,"New South Wales","native","evergreen",14.5056578947368,20.9410526315789,1.37165789473684,19.9843323684211,0.231974115874437,0.237755639006972,0.0231938235608925,0.543234010498346,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
