"species","nursery","date","batch_id","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD","climate_region","genus_species","variety","origin","leaf_type"
"acer_freemanii","freshford","2016-11-01","AF_200",200,45.255,58.575,3.982,180.20541,2.25576782492206,2.30102999566398,0.600101255691391,1.65566656923067,1.767712297269,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_100",100,36.725,39.915,3.18,116.7855,2.06738892444673,2,0.502427119984433,1.56496180446229,1.60113613360707,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,14.85,17.79,2.067,30.69495,1.48706693028052,1.30102999566398,0.315340476627288,1.17172645365323,1.25017594808392,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_200",200,46.035,59.33,3.736,171.98676,2.23549501504556,2.30102999566398,0.572406867558056,1.6630881474875,1.77327434833745,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,17.52,19.745,2.382,41.73264,1.62047585897882,1.30102999566398,0.376941757146759,1.24353410183206,1.29545713807256,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,17.615,20.96,2.387,42.047005,1.62373506652402,1.30102999566398,0.377852419006755,1.24588264751726,1.32139127831169,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,17.635,22.375,2.005,35.358175,1.54848984095971,1.30102999566398,0.302114376956201,1.24637546400351,1.34976304398795,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_200",200,42.11,62.625,3.71,156.2281,2.19375915103531,2.30102999566398,0.569373909615046,1.62438524142027,1.7967477388753,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,16.38,19.62,2.354,38.55852,1.58612035593182,1.30102999566398,0.371806458507416,1.2143138974244,1.29269900304393,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,16.74,20.53,2.322,38.87028,1.5896176690598,1.30102999566398,0.365862215402555,1.22375545365724,1.31238894937059,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,16.835,19.31,2.264,38.11444,1.58108954324034,1.30102999566398,0.354876422516234,1.22621312072411,1.28578227377939,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_200",200,44.295,50.895,3.675,162.784125,2.21161204944097,2.30102999566398,0.565257343420214,1.64635470602076,1.7066751187008,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,23.91,28.785,2.762,66.03942,1.81980325035839,1.60205999132796,0.441223674242612,1.37857957611577,1.45916623379115,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_100",100,33.27,35.81,2.902,96.54954,1.98475020897054,2,0.462697408101717,1.52205280086882,1.5540043210119,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_200",200,45.31,57.705,3.453,156.45543,2.19439064052864,2.30102999566398,0.538196578349454,1.65619406217919,1.7612134453625,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_200",200,45.95,49.51,3.786,173.9667,2.24046612534991,2.30102999566398,0.578180609627778,1.66228551572213,1.69469292633148,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_100",100,33.58,39.605,3.205,107.6239,2.03190872565687,2,0.505828033854836,1.52608069180203,1.59775001762584,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_100",100,33.84,39.045,3.204,108.42336,2.03512286177919,2,0.5056925074122,1.52943035436699,1.59156542716492,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_100",100,34.235,38.41,3.105,106.299675,2.02653193671594,2,0.492061604512599,1.53447033220334,1.58444430716518,"South Australia","acer_freemanii",NA,"non-native","deciduous"
