"batch_id","species","volume","treenumb","canopy_top","canopy_bottom","crownlength","branchper30","maxbranchradius","nursery","climate_region"
"26779","araucaria_heterophylla",100,5,364.5,75,289.5,10,100,"alpine","New South Wales"
"26779","araucaria_heterophylla",100,6,351.2,73,278.2,11,89,"alpine","New South Wales"
"26779","araucaria_heterophylla",100,7,377.8,75,302.8,10,100,"alpine","New South Wales"
"26779","araucaria_heterophylla",100,8,376.6,76,300.6,12,98,"alpine","New South Wales"
"26779","araucaria_heterophylla",100,9,316.7,75,241.7,9,107,"alpine","New South Wales"
"26779","araucaria_heterophylla",100,10,353.1,65,288.1,8,106,"alpine","New South Wales"
"34137","banksia_integrifolia",15,1,92,40,52,10,39,"alpine","New South Wales"
"34137","banksia_integrifolia",15,2,129,28,101,5,34,"alpine","New South Wales"
"34137","banksia_integrifolia",15,3,115.7,10,105.7,6,44,"alpine","New South Wales"
"34137","banksia_integrifolia",15,4,159.1,10,149.1,3,30,"alpine","New South Wales"
"34137","banksia_integrifolia",15,5,160.8,23,137.8,3,39,"alpine","New South Wales"
"34137","banksia_integrifolia",15,6,195,15,180,5,37,"alpine","New South Wales"
"34137","banksia_integrifolia",15,7,127.2,30,97.2,7,50,"alpine","New South Wales"
"34137","banksia_integrifolia",15,8,118.4,4,114.4,6,37,"alpine","New South Wales"
"34137","banksia_integrifolia",15,9,117.2,22,95.2,14,41,"alpine","New South Wales"
"33032","banksia_integrifolia",45,1,285.8,37,248.8,3,100,"alpine","New South Wales"
"33032","banksia_integrifolia",45,2,164.5,65,99.5,3,50,"alpine","New South Wales"
"33032","banksia_integrifolia",45,3,175.1,47,128.1,4,37,"alpine","New South Wales"
"33032","banksia_integrifolia",45,4,198.4,107,91.4,6,40,"alpine","New South Wales"
"33032","banksia_integrifolia",45,5,195.1,55,140.1,10,49,"alpine","New South Wales"
"33032","banksia_integrifolia",45,6,349.5,44,305.5,3,42,"alpine","New South Wales"
"33034","banksia_integrifolia",75,1,266.1,110,156.1,12,40,"alpine","New South Wales"
"33034","banksia_integrifolia",75,2,253.4,110,143.4,10,60,"alpine","New South Wales"
"33034","banksia_integrifolia",75,3,287.8,128,159.8,7,40,"alpine","New South Wales"
"33034","banksia_integrifolia",75,4,237.6,100,137.6,10,70,"alpine","New South Wales"
"33034","banksia_integrifolia",75,5,258.9,127,131.9,5,50,"alpine","New South Wales"
"33034","banksia_integrifolia",75,6,336.8,92,244.8,4,48,"alpine","New South Wales"
"33034","banksia_integrifolia",75,7,363,105,258,2,50,"alpine","New South Wales"
"33034","banksia_integrifolia",75,8,286.4,124,162.4,5,44,"alpine","New South Wales"
"33034","banksia_integrifolia",75,9,312.7,110,202.7,7,70,"alpine","New South Wales"
"33034","banksia_integrifolia",75,10,326.8,127,199.8,6,56,"alpine","New South Wales"
"32821","banksia_integrifolia",200,1,383.5,114,269.5,3,50,"alpine","New South Wales"
"32821","banksia_integrifolia",200,2,355.7,143,212.7,8,80,"alpine","New South Wales"
"32821","banksia_integrifolia",200,3,365.8,93,272.8,9,82,"alpine","New South Wales"
"34084","banksia_integrifolia",400,1,325.7,109,216.7,6,130,"alpine","New South Wales"
"34084","banksia_integrifolia",400,2,385,96,289,6,92,"alpine","New South Wales"
"34084","banksia_integrifolia",400,3,419.1,107,312.1,8,90,"alpine","New South Wales"
"34084","banksia_integrifolia",400,4,402.3,112,290.3,8,80,"alpine","New South Wales"
"34084","banksia_integrifolia",400,5,400.1,98,302.1,6,60,"alpine","New South Wales"
"34084","banksia_integrifolia",400,6,447.7,117,330.7,8,80,"alpine","New South Wales"
"34084","banksia_integrifolia",400,7,369.4,119,250.4,11,105,"alpine","New South Wales"
"34084","banksia_integrifolia",400,8,424.4,95,329.4,6,65,"alpine","New South Wales"
"34084","banksia_integrifolia",400,9,361,114,247,10,90,"alpine","New South Wales"
"34084","banksia_integrifolia",400,10,414.1,126,288.1,14,125,"alpine","New South Wales"
"33117","brachychiton_acerifolius",45,1,225.7,100,125.7,6,62,"alpine","New South Wales"
"33117","brachychiton_acerifolius",45,2,217.8,42,175.8,6,40,"alpine","New South Wales"
"33117","brachychiton_acerifolius",45,3,189.9,120,69.9,10,42,"alpine","New South Wales"
"33117","brachychiton_acerifolius",45,4,226.1,96,130.1,4,73,"alpine","New South Wales"
"33117","brachychiton_acerifolius",45,5,165.2,72,93.2,2,23,"alpine","New South Wales"
"33117","brachychiton_acerifolius",45,6,254.8,123,131.8,6,90,"alpine","New South Wales"
"33117","brachychiton_acerifolius",45,7,185.5,62,123.5,4,56,"alpine","New South Wales"
"33117","brachychiton_acerifolius",45,8,175.5,82,93.5,3,54,"alpine","New South Wales"
"33117","brachychiton_acerifolius",45,9,255,186,69,7,45,"alpine","New South Wales"
"33117","brachychiton_acerifolius",45,10,207,99,108,11,57,"alpine","New South Wales"
"34182","brachychiton_acerifolius",75,1,238.1,120,118.1,7,39,"alpine","New South Wales"
"34182","brachychiton_acerifolius",75,2,207.9,130,77.9,8,46,"alpine","New South Wales"
"34182","brachychiton_acerifolius",75,3,251.1,155,96.1,9,30,"alpine","New South Wales"
"34182","brachychiton_acerifolius",75,4,217,151,66,11,36,"alpine","New South Wales"
"34182","brachychiton_acerifolius",75,5,246.4,158,88.4,10,32,"alpine","New South Wales"
"34182","brachychiton_acerifolius",75,6,246.4,132,114.4,1,33,"alpine","New South Wales"
"34182","brachychiton_acerifolius",75,7,238.6,81,157.6,4,63,"alpine","New South Wales"
"34182","brachychiton_acerifolius",75,8,291.3,152,139.3,7,35,"alpine","New South Wales"
"34182","brachychiton_acerifolius",75,9,209.1,60,149.1,3,62,"alpine","New South Wales"
"34182","brachychiton_acerifolius",75,10,246.6,162,84.6,5,40,"alpine","New South Wales"
"33924","brachychiton_acerifolius",100,1,420.5,210,210.5,2,80,"alpine","New South Wales"
"33924","brachychiton_acerifolius",100,2,404.8,200,204.8,3,50,"alpine","New South Wales"
"33924","brachychiton_acerifolius",100,3,360.8,205,155.8,8,90,"alpine","New South Wales"
